"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Agathis"	"Arecaceae"	"Casuarinaceae"	"Cunoniaceae"	"Dacrydium"	"Elaeocarpaceae"	"Eucalyptus"	"Myrtaceae"	"Phyllocladus"	"Poaceae"	"Podocarpus"	"Rutaceae"	"Urticaceae"
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3725	"AWI"	3725	109231	128582	118490	8.13953488372093	12.7906976744186	2.32558139534884	9.30232558139535	2.32558139534884	6.97674418604651	8.13953488372093	10.4651162790698	0	3.48837209302326	12.7906976744186	3.48837209302326	19.7674418604651
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3755	"AWI"	3755	109942	129831	119421	17.5824175824176	15.3846153846154	8.79120879120879	3.2967032967033	0	5.49450549450549	4.3956043956044	30.7692307692308	0	2.1978021978022	5.49450549450549	1.0989010989011	5.49450549450549
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3775	"AWI"	3775	110297	130881	119977	8.16326530612245	22.4489795918367	2.04081632653061	7.14285714285714	0	2.04081632653061	5.10204081632653	45.9183673469388	1.02040816326531	3.06122448979592	2.04081632653061	1.02040816326531	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3800	"AWI"	3800	110938	131615	120713	2	6	1	25	0	6	1	47	0	4	2	3	3
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3825	"AWI"	3825	111767	132306	121466	1.26582278481013	7.59493670886076	0	26.5822784810127	0	2.53164556962025	0	58.2278481012658	0	0	0	1.26582278481013	2.53164556962025
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3875	"AWI"	3875	112841	133879	122937	1.11111111111111	22.2222222222222	0	20	0	5.55555555555556	1.11111111111111	42.2222222222222	0	2.22222222222222	0	2.22222222222222	3.33333333333333
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3900	"AWI"	3900	113566	134658	123644	2.08333333333333	6.25	0	26.0416666666667	0	13.5416666666667	1.04166666666667	42.7083333333333	0	2.08333333333333	1.04166666666667	1.04166666666667	4.16666666666667
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3925	"AWI"	3925	114273	135397	124435	0	4.25531914893617	0	25.531914893617	0	9.57446808510638	0	52.1276595744681	0	0	1.06382978723404	1.06382978723404	6.38297872340426
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3950	"AWI"	3950	114847	136380	125195	0.970873786407767	16.504854368932	0.970873786407767	19.4174757281553	0	3.88349514563107	0	47.5728155339806	0	0.970873786407767	0	4.85436893203883	4.85436893203883
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3975	"AWI"	3975	115399	137437	125938	0	14	1	24	0	3	3	47	0	2	1	1	4
1628	1683	"Lynch's Crater"	-17.3667	145.6881	4000	"AWI"	4000	116045	138323	126704	1.2987012987013	9.09090909090909	2.5974025974026	22.0779220779221	0	3.8961038961039	1.2987012987013	54.5454545454545	0	0	0	1.2987012987013	3.8961038961039
1628	1683	"Lynch's Crater"	-17.3667	145.6881	4025	"AWI"	4025	116886	139012	127492	0.980392156862745	32.3529411764706	0	8.82352941176471	0	6.86274509803922	1.96078431372549	37.2549019607843	0	5.88235294117647	0.980392156862745	0	4.90196078431373
